iter	Passed	Remaining
412	3548	5043
413	3557	5034
414	3565	5025
415	3574	5017
416	3583	5010
417	3590	4999
418	3600	4991
419	3608	4982
420	3617	4974
421	3625	4965
422	3634	4957
423	3642	4948
424	3651	4939
425	3658	4930
426	3667	4921
427	3676	4913
428	3685	4904
429	3693	4895
430	3701	4886
431	3708	4876
432	3717	4867
433	3725	4858
434	3733	4848
435	3741	4839
436	3750	4831
437	3758	4822
438	3766	4813
439	3775	4804
440	3784	4797
441	3792	4787
442	3800	4778
443	3808	4768
444	3816	4759
445	3823	4749
446	3832	4741
447	3840	4731
448	3849	4723
449	3856	4714
450	3865	4705
451	3873	4696
452	3881	4687
453	3889	4677
454	3897	4668
455	3905	4659
456	3914	4650
457	3922	4641
458	3930	4632
459	3937	4622
460	3946	4613
461	3954	4604
462	3963	4596
463	3971	4587
464	3979	4578
465	3988	4570
466	3996	4561
467	4003	4551
468	4012	4542
469	4019	4533
470	4028	4524
471	4036	4515
472	4045	4507
473	4053	4498
474	4062	4489
475	4070	4480
476	4078	4471
477	4086	4462
478	4094	4453
479	4103	4445
480	4111	4436
481	4119	4427
482	4127	4418
483	4135	4409
484	4144	4400
485	4152	4391
486	4160	4382
487	4167	4372
488	4176	4364
489	4184	4355
490	4193	4347
491	4202	4339
492	4210	4329
493	4217	4320
494	4226	4311
495	4234	4302
496	4242	4293
497	4250	4284
498	4259	4276
499	4266	4266
500	4274	4257
501	4282	4247
502	4290	4238
503	4298	4229
504	4307	4221
505	4314	4212
506	4322	4203
507	4330	4193
508	4338	4185
509	4346	4176
510	4355	4168
511	4363	4158
512	4371	4149
513	4379	4140
514	4387	4132
515	4395	4122
516	4404	4114
517	4412	4106
518	4421	4097
519	4428	4088
520	4437	4079
521	4444	4070
522	4453	4062
523	4461	4052
524	4469	4044
525	4478	4036
526	4487	4027
527	4495	4018
528	4503	4010
529	4512	4001
530	4522	3994
531	4529	3984
532	4538	3976
533	4546	3967
534	4554	3958
535	4562	3949
536	4570	3940
537	4578	3931
538	4586	3922
539	4594	3913
540	4601	3904
541	4609	3895
542	4618	3886
543	4625	3877
544	4634	3869
545	4643	3860
546	4651	3851
547	4659	3843
548	4667	3834
549	4675	3825
550	4683	3816
551	4691	3807
552	4699	3798
553	4706	3789
554	4715	3780
555	4722	3771
556	4730	3762
557	4738	3753
558	4747	3745
559	4755	3736
560	4764	3728
561	4771	3719
562	4779	3710
563	4787	3701
564	4795	3692
565	4803	3683
566	4812	3675
567	4821	3666
568	4829	3658
569	4837	3649
570	4845	3640
571	4853	3631
572	4861	3623
573	4870	3614
574	4878	3605
575	4886	3596
576	4894	3588
577	4902	3579
578	4910	3570
579	4919	3562
580	4927	3553
581	4936	3545
582	4944	3536
583	4952	3527
584	4960	3519
585	4968	3510
586	4977	3501
587	4985	3492
588	4993	3484
589	5000	3474
590	5009	3466
591	5017	3457
592	5025	3449
593	5033	3440
594	5041	3431
595	5049	3422
596	5057	3414
597	5065	3405
598	5073	3396
599	5081	3387
600	5090	3379
601	5098	3370
602	5107	3362
603	5114	3353
604	5123	3345
605	5132	3336
606	5141	3328
607	5149	3319
608	5157	3311
609	5165	3302
610	5174	3294
611	5181	3285
612	5190	3276
613	5200	3269
614	5208	3260
615	5216	3251
616	5224	3243
617	5233	3234
618	5241	3226
619	5250	3217
620	5258	3209
621	5266	3200
622	5275	3192
623	5283	3183
624	5291	3174
625	5299	3166
626	5308	3157
627	5316	3149
628	5325	3140
629	5333	3132
630	5341	3123
631	5349	3115
632	5358	3106
633	5366	3097
634	5373	3088
635	5381	3080
636	5389	3071
637	5398	3063
638	5406	3054
639	5414	3045
640	5422	3037
641	5431	3028
642	5439	3019
643	5448	3011
644	5456	3003
645	5463	2994
646	5472	2985
647	5480	2977
648	5487	2968
649	5495	2959
650	5503	2950
651	5512	2942
652	5520	2933
653	5529	2925
654	5536	2916
655	5544	2907
656	5552	2898
657	5561	2890
658	5569	2881
659	5576	2872
660	5584	2864
661	5592	2855
662	5600	2846
663	5608	2837
664	5616	2829
665	5625	2821
666	5634	2812
667	5643	2804
668	5651	2796
669	5659	2787
670	5667	2778
671	5675	2770
672	5683	2761
673	5691	2752
674	5699	2744
675	5707	2735
676	5716	2727
677	5724	2718
678	5733	2710
679	5741	2701
680	5750	2693
681	5759	2685
682	5767	2676
683	5775	2668
684	5783	2659
685	5791	2650
686	5799	2642
687	5807	2633
688	5815	2625
689	5823	2616
690	5831	2607
691	5839	2599
692	5848	2590
693	5856	2582
694	5864	2573
695	5873	2565
696	5880	2556
697	5889	2547
698	5896	2539
699	5905	2530
700	5913	2522
701	5921	2513
702	5930	2505
703	5939	2497
704	5947	2488
705	5955	2479
706	5962	2471
707	5971	2462
708	5979	2454
709	5987	2445
710	5995	2437
711	6004	2428
712	6011	2419
713	6019	2411
714	6028	2402
715	6036	2394
716	6044	2385
717	6052	2377
718	6060	2368
719	6068	2359
720	6076	2351
721	6084	2342
722	6091	2333
723	6099	2325
724	6108	2316
725	6116	2308
726	6124	2299
727	6132	2291
728	6140	2282
729	6149	2274
730	6156	2265
731	6164	2256
732	6172	2248
733	6180	2239
734	6189	2231
735	6197	2223
736	6206	2214
737	6214	2206
738	6223	2197
739	6231	2189
740	6239	2180
741	6247	2172
742	6255	2163
743	6264	2155
744	6272	2147
745	6280	2138
746	6289	2130
747	6298	2121
748	6306	2113
749	6314	2104
750	6322	2096
751	6330	2087
752	6338	2079
753	6347	2070
754	6355	2062
755	6364	2054
756	6372	2045
757	6381	2037
758	6389	2028
759	6398	2020
760	6406	2012
761	6414	2003
762	6423	1995
763	6431	1986
764	6439	1978
765	6447	1969
766	6455	1961
767	6464	1952
768	6472	1944
769	6480	1935
770	6487	1926
771	6496	1918
772	6505	1910
773	6513	1901
774	6521	1893
775	6530	1885
776	6538	1876
777	6547	1868
778	6555	1859
779	6563	1851
780	6571	1842
781	6579	1834
782	6587	1825
783	6595	1817
784	6603	1808
785	6612	1800
786	6621	1791
787	6630	1783
788	6638	1775
789	6646	1766
790	6653	1758
791	6661	1749
792	6669	1740
793	6677	1732
794	6686	1724
795	6694	1715
796	6702	1707
797	6710	1698
798	6717	1689
799	6726	1681
800	6734	1673
801	6743	1664
802	6751	1656
803	6759	1647
804	6766	1639
805	6775	1630
806	6782	1622
807	6791	1613
808	6798	1605
809	6806	1596
810	6815	1588
811	6823	1579
812	6831	1571
813	6839	1562
814	6847	1554
815	6855	1545
816	6863	1537
817	6871	1528
818	6879	1520
819	6889	1512
820	6897	1503
821	6906	1495
822	6914	1487
823	6922	1478
824	6931	1470
825	6940	1461
826	6947	1453
827	6955	1444
828	6963	1436
829	6972	1428
830	6980	1419
831	6989	1411
832	6996	1402
833	7005	1394
834	7013	1385
835	7022	1377
836	7030	1369
837	7038	1360
838	7046	1352
839	7054	1343
840	7062	1335
841	7071	1327
842	7080	1318
843	7088	1310
844	7096	1301
845	7104	1293
846	7112	1284
847	7120	1276
848	7129	1267
849	7137	1259
850	7144	1250
851	7152	1242
852	7160	1233
853	7168	1225
854	7176	1217
855	7184	1208
856	7194	1200
857	7202	1192
858	7210	1183
859	7219	1175
860	7227	1166
861	7235	1158
862	7243	1149
863	7252	1141
864	7259	1133
865	7268	1124
866	7276	1116
867	7285	1107
868	7292	1099
869	7301	1090
870	7308	1082
871	7318	1074
872	7326	1065
873	7333	1057
874	7341	1048
875	7350	1040
876	7357	1031
877	7366	1023
878	7374	1015
879	7382	1006
880	7390	998
881	7398	989
882	7406	981
883	7414	972
884	7422	964
885	7430	956
886	7437	947
887	7445	939
888	7453	930
889	7462	922
890	7470	913
891	7479	905
892	7488	897
893	7496	888
894	7506	880
895	7515	872
896	7523	863
897	7532	855
898	7540	847
899	7548	838
900	7556	830
901	7564	821
902	7573	813
903	7581	805
904	7589	796
905	7598	788
906	7607	780
907	7615	771
908	7623	763
909	7632	754
910	7642	746
911	7651	738
912	7660	730
913	7668	721
914	7676	713
915	7684	704
916	7692	696
917	7700	687
918	7708	679
919	7715	670
920	7724	662
921	7732	654
922	7740	645
923	7747	637
924	7756	628
925	7764	620
926	7772	612
927	7781	603
928	7790	595
929	7798	586
930	7806	578
931	7815	570
932	7822	561
933	7830	553
934	7838	544
935	7846	536
936	7855	528
937	7863	519
938	7871	511
939	7880	502
940	7888	494
941	7897	486
942	7905	477
943	7913	469
944	7922	461
945	7929	452
946	7937	444
947	7945	435
948	7954	427
949	7961	419
950	7969	410
951	7977	402
952	7985	393
953	7993	385
954	8002	377
955	8010	368
956	8018	360
957	8025	351
958	8034	343
959	8042	335
960	8050	326
961	8058	318
962	8066	309
963	8074	301
964	8084	293
965	8091	284
966	8099	276
967	8107	268
968	8115	259
969	8123	251
970	8131	242
971	8139	234
972	8148	226
973	8157	217
974	8164	209
975	8172	200
976	8181	192
977	8190	184
978	8198	175
979	8206	167
980	8214	159
981	8222	150
982	8231	142
983	8239	133
984	8247	125
985	8254	117
986	8263	108
987	8272	100
988	8280	92
989	8288	83
990	8296	75
991	8305	66
992	8313	58
993	8321	50
994	8330	41
995	8338	33
996	8346	25
997	8353	16
998	8360	8
999	8368	0
