iter	MultiClass
345	0.6335617158
346	0.6334158361
347	0.6332612658
348	0.6330886087
349	0.6329148014
350	0.6327534032
351	0.6326151668
352	0.6324328913
353	0.6323260979
354	0.6321263741
355	0.6319375877
356	0.6317695765
357	0.631634512
358	0.6315131316
359	0.6314102288
360	0.6312369602
361	0.6310885336
362	0.6309561505
363	0.6308428827
364	0.6307530527
365	0.6306267076
366	0.6303598677
367	0.6300908679
368	0.6299470543
369	0.6297508107
370	0.6295872372
371	0.6294849181
372	0.6293860722
373	0.6290760654
374	0.628886078
375	0.6287849068
376	0.6286366054
377	0.6284980344
378	0.6283883342
379	0.628301158
380	0.6280635675
381	0.62795445
382	0.6278607038
383	0.6277026441
384	0.6275399254
385	0.6273610621
386	0.627251418
387	0.6270378744
388	0.6267956264
389	0.626651207
390	0.6265282216
391	0.626410295
392	0.626298036
393	0.6261709835
394	0.626046546
395	0.6259284833
396	0.6257723483
397	0.6256671391
398	0.6253827308
399	0.6250704675
400	0.6249059906
401	0.6246414707
402	0.6245271804
403	0.6244187632
404	0.6243544032
405	0.6242619645
406	0.624069856
407	0.6239349665
408	0.6238222464
409	0.6236825239
410	0.6234542519
411	0.6231673991
412	0.6230812524
413	0.6229333249
414	0.6228189205
415	0.6226834124
416	0.6225310163
417	0.6223448676
418	0.6222188319
419	0.6221093377
420	0.6218505244
421	0.6217236915
422	0.6214973451
423	0.6212452428
424	0.6209958857
425	0.6209079894
426	0.6208102615
427	0.6206064124
428	0.6205227342
429	0.6203460026
430	0.620229196
431	0.6201460128
432	0.619929662
433	0.6197110638
434	0.6196333299
435	0.6194539072
436	0.6192752884
437	0.6191686663
438	0.6189885397
439	0.6188584007
440	0.6186901818
441	0.6184602939
442	0.6181568073
443	0.6179663564
444	0.6178410756
445	0.6176981919
446	0.617528268
447	0.6173957109
448	0.6172849705
449	0.6171317173
450	0.616939909
451	0.6168443559
452	0.6166563647
453	0.6165192842
454	0.6163705996
455	0.6162152691
456	0.6161153811
457	0.6159641313
458	0.6157908257
459	0.6155346604
460	0.6153891458
461	0.6152611651
462	0.615002887
463	0.614895858
464	0.6148080699
465	0.6146384741
466	0.6143631688
467	0.6141505429
468	0.6139407595
469	0.6138768443
470	0.6136344063
471	0.6135118705
472	0.6134271233
473	0.6132568461
474	0.6130774606
475	0.6128824988
476	0.6126762205
477	0.6125295808
478	0.6123770806
479	0.6122959692
480	0.6121132841
481	0.61203683
482	0.6119213261
483	0.6117355667
484	0.6116045223
485	0.6113746586
486	0.6112205143
487	0.6110725117
488	0.6109343758
489	0.6107397117
490	0.6106570038
491	0.6105539593
492	0.6104395017
493	0.6102787812
494	0.6100960647
495	0.609847264
496	0.6097460337
497	0.6096251086
498	0.6094625224
499	0.6093848369
500	0.6093041364
501	0.6091856594
502	0.609091394
503	0.608976244
504	0.6088743648
505	0.608677343
506	0.6084749007
507	0.6083596271
508	0.6082791615
509	0.608193242
510	0.6081360386
511	0.6080407659
512	0.6079205051
513	0.6077660698
514	0.6076240925
515	0.6075286469
516	0.6073822669
517	0.6072557267
518	0.6071108944
519	0.6069109713
520	0.6067099371
521	0.6066176761
522	0.6064646816
523	0.6062176146
524	0.6060645421
525	0.6059775983
526	0.6058058051
527	0.6056680031
528	0.6055153381
529	0.6053897169
530	0.6052086032
531	0.6050967719
532	0.604980998
533	0.6048410933
534	0.6046945728
535	0.6045197415
